"REF_DATE","GEO","DGUID","Seasonal adjustment","Levels of government","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Other current transfers from households","Dollars","81","millions","6","v62425540","1.1.1.40","13328","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Other current transfers from households","Dollars","81","millions","6","v62425540","1.1.1.40","13612","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Other current transfers from households","Dollars","81","millions","6","v62425540","1.1.1.40","13820","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Other current transfers from households","Dollars","81","millions","6","v62425540","1.1.1.40","13872","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Other current transfers from households","Dollars","81","millions","6","v62425540","1.1.1.40","13792","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers from non-profit institutions serving households","Dollars","81","millions","6","v62425541","1.1.1.41","3832","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers from non-profit institutions serving households","Dollars","81","millions","6","v62425541","1.1.1.41","3820","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers from non-profit institutions serving households","Dollars","81","millions","6","v62425541","1.1.1.41","3816","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers from non-profit institutions serving households","Dollars","81","millions","6","v62425541","1.1.1.41","3812","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers from non-profit institutions serving households","Dollars","81","millions","6","v62425541","1.1.1.41","3816","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Other current transfers from non-residents","Dollars","81","millions","6","v62425542","1.1.1.50","440","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Other current transfers from non-residents","Dollars","81","millions","6","v62425542","1.1.1.50","440","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Other current transfers from non-residents","Dollars","81","millions","6","v62425542","1.1.1.50","440","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Other current transfers from non-residents","Dollars","81","millions","6","v62425542","1.1.1.50","440","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Other current transfers from non-residents","Dollars","81","millions","6","v62425542","1.1.1.50","440","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Investment income","Dollars","81","millions","6","v62425543","1.1.1.51","55884","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Investment income","Dollars","81","millions","6","v62425543","1.1.1.51","57336","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Investment income","Dollars","81","millions","6","v62425543","1.1.1.51","57956","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Investment income","Dollars","81","millions","6","v62425543","1.1.1.51","100772","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Investment income","Dollars","81","millions","6","v62425543","1.1.1.51","65972","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Sales of goods and services","Dollars","81","millions","6","v62425544","1.1.1.55","87088","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Sales of goods and services","Dollars","81","millions","6","v62425544","1.1.1.55","88856","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Sales of goods and services","Dollars","81","millions","6","v62425544","1.1.1.55","90288","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Sales of goods and services","Dollars","81","millions","6","v62425544","1.1.1.55","93116","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Sales of goods and services","Dollars","81","millions","6","v62425544","1.1.1.55","94348","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Capital transfers","Dollars","81","millions","6","v62425545","1.1.1.56","0","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Capital transfers","Dollars","81","millions","6","v62425545","1.1.1.56","0","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Capital transfers","Dollars","81","millions","6","v62425545","1.1.1.56","0","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Capital transfers","Dollars","81","millions","6","v62425545","1.1.1.56","0","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Capital transfers","Dollars","81","millions","6","v62425545","1.1.1.56","0","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From households","Dollars","81","millions","6","v62425546","1.1.1.57","0","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From households","Dollars","81","millions","6","v62425546","1.1.1.57","0","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From households","Dollars","81","millions","6","v62425546","1.1.1.57","0","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From households","Dollars","81","millions","6","v62425546","1.1.1.57","0","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From households","Dollars","81","millions","6","v62425546","1.1.1.57","0","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From non-profit institutions serving households","Dollars","81","millions","6","v62425547","1.1.1.58","0","","","","0"
